cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,publish_year,abstract_words
4g8h0myb,,WHO,''Determining Host Factors Contributing to Disease Severity in a Family Cluster of 29 Hospitalized SARS-CoV-2 Patients: Could Genetic Factors Be Relevant in the Clinical Course of COVID-19?'',,,,unk,"OBJECTIVE: In this study, we report a large family cluster consisting of 29 genetically related patients hospitalized with COVID-19. We sought to determine the clinical characteristics relevant to the clinical course of COVID-19 by comparing the family cluster to unrelated patients with SARS-CoV-2 infection so that the presence of potential determinants of disease severity, other than traditional risk factors previously reported, could be investigated. METHODS: 29 patient files were investigated in Group 1 and Group 2 was created with 52 consecutive COVID-19 patients with age and gender compatibility. The virus was detected for diagnosis. The clinical, laboratory and imaging features of all patients were retrospectively screened. Disease course was assessed using records regarding outcome from patient files retrospectively. Groups were compared with respect to baseline characteristics, disease severity on presentation, disease course. RESULTS: There was no difference between the two groups in terms of comorbidity and smoking history. In terms of in-hospital treatment, use differed not significantly between two groups. We found that all 29 patients in Group 1 had severe pneumonia, 18 patients had severe pneumonia. Hospitalization rates, length of hospital stay and transferred to ICU were found to be statistically significantly higher in Group 1. CONCLUSION: In the present study, COVID-19 cases in the large family cluster were shown to have more severe disease and worse clinical course compared to consecutive COVID-19 patients presenting to the same time. We believe further studies into potential genetic mechanisms of host susceptibility to COVID-19 should include such family clusters. This article is protected by copyright. All rights reserved.",2020,"Ikitimur, Hande; Borku Uysal, Betul; Cengiz, Mahir; Ikitimur, Baris; Uysal, Harun; Ozcan, Erkan; Islamoglu, Mehmet Sami; Seyhan, Serhat; Yavuzer, Hakan; Yavuzer, Serap",J. med. virol,NA,#505718,,,,,219316421,2020,257
7709y8ex,,WHO,''Treatment adherence in psoriatic patients during COVID-19 pandemic: Real-world data from a tertiary hospital in Greece'',,,,unk,"COVID-19 pandemic raised questions both in dermatologists and in patients about the use of immunosuppressive medications. Although dermatologic societies recommend the continuing of psoriatic systemic therapies and biologics, little is known about treatment adherence in psoriatic patients during COVID-19 outbreak. Medication self-management may feel burdensome to patients with psoriasis due to the nature of treatments and many of them face additional challenges as they may suffer from comorbidities. Under these already difficult conditions, COVID-19 disease puts extra pressure on individuals and may undermine adherence. Acknowledging treatment non-adherence as a consequence of conflicting goals may help to find the reasons for but, most important, solutions to non-adherence especially during public health crises. The objective of our study was to evaluate the adherence of psoriatic patients in traditional systemic treatment as well as biologics and identify possible influencing factors of drug interruption during COVID-10 pandemic.",2020,"Vakirlis, Authors E; Bakirtzi, K; Papadimitriou, I; Vrani, F; Sideris, N; Lallas, A; Ioannides, D; Sotiriou, E",J. Eur. Acad. Dermatol. Venereol,NA,#32558015,,,,,219918601,2020,143
szy3gypa,,WHO,'All In': a pragmatic framework for COVID-19 testing and action on a global scale,,,,unk,"Current demand for SARS-CoV-2 testing is straining material resource and labor capacity around the globe. As a result, the public health and clinical community are hindered in their ability to monitor and contain the spread of COVID-19. Despite broad consensus that more testing is needed, pragmatic guidance toward realizing this objective has been limited. This paper addresses this limitation by proposing a novel and geographically agnostic framework (the 4Ps framework) to guide multidisciplinary, scalable, resource-efficient, and achievable efforts toward enhanced testing capacity. The 4Ps (Prioritize, Propagate, Partition, and Provide) are described in terms of specific opportunities to enhance the volume, diversity, characterization, and implementation of SARS-CoV-2 testing to benefit public health. Coordinated deployment of the strategic and tactical recommendations described in this framework has the potential to rapidly expand available testing capacity, improve public health decision-making in response to the COVID-19 pandemic, and/or to be applied in future emergent disease outbreaks.",2020,"Pettit, Syril D; Jerome, Keith R; Rouquié, David; Mari, Bernard; Barbry, Pascal; Kanda, Yasunari; Matsumoto, Mineo; Hester, Susan; Wehmas, Leah; Botten, Jason W; Bruce, Emily A",EMBO Mol Med,NA,#197868,,,,,218534789,2020,151
0c1gbrqe,,WHO,'Distancers' and 'non-distancers'? The potential social psychological impact of moralizing COVID-19 mitigating practices on sustained behaviour change,,,,unk,"COVID-19 mitigating practices such as 'hand-washing', 'social distancing', or 'social isolating' are constructed as 'moral imperatives', required to avert harm to oneself and others. Adherence to COVID-19 mitigating practices is presently high among the general public, and stringent lockdown measures supported by legal and policy intervention have facilitated this. In the coming months, however, as rules are being relaxed and individuals become less strict, and thus, the ambiguity in policy increases, the maintenance of recommended social distancing norms will rely on more informal social interactional processes. We argue that the moralization of these practices, twinned with relaxations of policy, may likely cause interactional tension between those individuals who do vs. those who do not uphold social distancing in the coming months: that is, derogation of those who adhere strictly to COVID-19 mitigating practices and group polarization between 'distancers' and 'non-distancers'. In this paper, we explore how and why these processes might come to pass, their impact on an overall societal response to COVID-19, and the need to factor such processes into decisions regarding how to lift restrictions.",2020,"Prosser, Annayah M B; Judge, Madeline; Bolderdijk, Jan Willem; Blackwood, Leda; Kurz, Tim",Br J Soc Psychol,NA,#614293,,,,,220058823,2020,177
7950xjmv,dafb52f3f47c7245654c8fcb16edec4c9003e218,MedRxiv,"'Drawing on Wisdom to Cope with Adversity:' A Systematic Review Protocol of Older Adults' Mental and Psychosocial Health During Acute Respiratory Disease Propagated-Type Epidemics and Pandemics (COVID-19, SARS-CoV, MERS, and Influenza).",10.1101/2020.06.04.20122812,,,medrxiv,"Background: Mental health has become one of the fundamental priorities during the COVID-19 pandemic. Situations like physical distancing as well as being constantly tagged as the most vulnerable group could expose older adults to mental and psychosocial burdens. Nonetheless, there is little clarity about the impact of the COVID-19 pandemic or similar pandemics in the past on the mental illness, wellbeing, and psychosocial health of the older population compared to other age groups. Objectives: To describe the patterns of older adults' mental and psychosocial health related to acute respiratory disease propagated-type epidemics and pandemics and to evaluate the differences with how other age groups respond. Eligibility criteria: quantitative and qualitative studies evaluating mental illness, wellbeing, or psychosocial health outcomes associated with respiratory propagated epidemics and pandemics exposure or periods (COVID-19, SARS-CoV, MERS, and Influenza) in people 65 years or older. Data source: Original articles published until June 1st, 2020, in any language searched in the electronic healthcare and social sciences database: MEDLINE, Embase, CINAHL, PsycINFO, Scopus, WHO Global literature on coronavirus disease database, China National Knowledge Infrastructure ( - CNKI). Furthermore, EPPI Centre's COVID-19 living systematic map and the publicly available publication list of the COVID-19 living systematic review will be incorporated for preprints and recent COVID-19 publications. Data extraction: Two independent reviewers will extract predefined parameters. The risk of bias will be assessed. Data synthesis: Data synthesis will be performed according to study type and design, type of epidemic and pandemic, types of outcomes (mental health and psychosocial outcomes), and participant characteristics (e.g., sex, race, age, socioeconomic status, food security, presence of dependency in daily life activities independent/dependent older adults). Comparison between sex, race, and other age groups will be performed qualitatively, and quantitatively if enough data is available. The risk of bias and study heterogeneity will be reported for quantitative studies. Conclusion: This study will provide information to take actions to address potential mental health difficulties during the COVID-19 pandemic in older adults and to understand responses on this age group. Furthermore, it will be useful to identify potential groups that are more vulnerable or resilient to the mental-health challenges of the current worldwide pandemic.",2020-06-07,"Aravena, J. M.; Aceituno, C.; Nyhan, K.; Shi, K.; Vermund, S.; Levy, B. R.",,NA,,,document_parses/pdf_json/dafb52f3f47c7245654c8fcb16edec4c9003e218.json,,http://medrxiv.org/cgi/content/short/2020.06.04.20122812v1?rss=1,219397001,2020,357
q6qad9nv,,WHO,'Healthcare Heroes': problems with media focus on heroism from healthcare workers during the COVID-19 pandemic,,,,unk,"During the COVID-19 pandemic, the media have repeatedly praised healthcare workers for their 'heroic' work. Although this gratitude is undoubtedly appreciated by many, we must be cautious about overuse of the term 'hero' in such discussions. The challenges currently faced by healthcare workers are substantially greater than those encountered in their normal work, and it is understandable that the language of heroism has been evoked to praise them for their actions. Yet such language can have potentially negative consequences. Here, I examine what heroism is and why it is being applied to the healthcare workers currently, before outlining some of the problems associated with the heroism narrative currently being employed by the media. Healthcare workers have a clear and limited duty to treat during the COVID-19 pandemic, which can be grounded in a broad social contract and is strongly associated with certain reciprocal duties that society has towards healthcare workers. I argue that the heroism narrative can be damaging, as it stifles meaningful discussion about what the limits of this duty to treat are. It fails to acknowledge the importance of reciprocity, and through its implication that all healthcare workers have to be heroic, it can have negative psychological effects on workers themselves. I conclude that rather than invoking the language of heroism to praise healthcare workers, we should examine, as a society, what duties healthcare workers have to work in this pandemic, and how we can support them in fulfilling these.",2020,"Cox, Caitríona L",J Med Ethics,NA,#601854,,,,,219724284,2020,242
mxit0mvy,,WHO,'Infodemic' of COVID 19: More pandemic than the virus,10.4103/ijn.ijn_216_20,,,unk,"Coronavirus disease (COVID 19), which was started in Wuhan, China in December 2019 has become a pandemic, leading to unprecedented risk to the human race However, fear wave accelerating ahead of pandemic worldwide is driven by prejudice or erroneous information This has been termed as 'infodemics' by WHO considering its fake nature, which triggered discrimination and stigma of disease along with the failure of rapid response policies Additionally, the lack of adequate pandemic preparedness plans identified in many countries may be responsible for infodemics NonCOVID medical illnesses have taken a back seat at many places while implementing COVID 19 control strategies and patients are diverted to COVID 19 screening hospitals leading to a potential health crisis Now, we also have to focus on mitigating infodemics and its implications at the social front while strategic planning to control current and future pandemics",2020,"Patel, M.; Kute, V.; Agarwal, S.",Indian Journal of Nephrology,NA,#683172,,,,https://doi.org/10.4103/ijn.ijn_216_20,220044860,2020,141
b61hl9ab,,Medline,'Let us Help'- Why Senior Medical Students are the Next Step in Battling the COVID-19 Pandemic.,10.1111/ijcp.13516,,32301206,unk,"As senior medical students in the UK, we read Dr Stein's letter on the novel coronavirus (COVID-19) 2 and began wondering where we fit in, in this pandemic. As the government heads into a 'war footing' 13 , there is an increased need for medical staff. There is speculation of bringing back retired doctors, many of who fall into at risk categories. With clinical placement and exams cancelled, we are determined to use our hard-earned skills in some way, to help in what is the biggest global emergency of our lifetime.",2020-04-16,"Thomson, Emily; Lovegrove, Sally",International journal of clinical practice,NA,,,,,https://doi.org/10.1111/ijcp.13516; https://www.ncbi.nlm.nih.gov/pubmed/32301206/,215801790,2020,91
hnoipd8d,,WHO,'Let us Help'-Why senior medical students are the next step in battling the COVID-19 Pandemic,,,,unk,"As senior medical students in the UK, we read Dr Stein's letter on the novel coronavirus (COVID-19)2 and began wondering where we fit in, in this pandemic. As the government heads into a 'war footing',13 there is an increased need for medical staff. There is speculation of bringing back retired doctors, many of who fall into at-risk categories. With clinical placement and exams cancelled, we are determined to use our hard-earned skills in some way, to help in what is the biggest global emergency of our lifetime.",2020,"Thomson, Emily; Lovegrove, Sally",Int J Clin Pract,NA,#66342,,,,,215801790,2020,87
2dar2dj1,,WHO,'Make exercise the elixir across an economic divide': A message to COVID-19 decision makers,10.17159/2078-516x/2020/v32i1a8310,,,unk,"South Africa, like other countries around the world, has used a lockdown strategy to address the initial phases of the COVID-19 epidemic The significant restrictions on population movement have included initially limiting exercise to the home There is substantial evidence for the many benefits of exercise This study specifically emphasises the benefits of exercise to the immune system, particularly for those most vulnerable to the effects of the SARS-CoV-2 virus and proposes measures to improve access to exercise in a demographically diverse and economically disparate society",2020,"Patricios, J.; Saggers, R.; Gelbart, B.; van Zuydam, J.",South African Journal of Sports Medicine,NA,#665052,,,,https://doi.org/10.17159/2078-516x/2020/v32i1a8310,219448373,2020,86
