Player,Tm,Salary,Cap Hit
John Tavares,TOR,"15,900,000","11,000,000"
Connor McDavid,EDM,"15,000,000","12,500,000"
Carey Price,MTL,"15,000,000","10,500,000"
Jamie Benn,DAL,"13,000,000","9,500,000"
Anze Kopitar,LAK,"12,000,000","10,000,000"
Jonathan Toews,CHI,"12,000,000","10,500,000"
Patrick Kane,CHI,"12,000,000","10,500,000"
William Nylander,TOR,"12,000,000","10,277,778"
John Carlson,WSH,"12,000,000","8,000,000"
Brent Burns,SJS,"10,000,000","8,000,000"
Jack Eichel,BUF,"10,000,000","10,000,000"
P.K. Subban,NSH,"10,000,000","9,000,000"
Evgeny Kuznetsov,WSH,"10,000,000","7,800,000"
Sidney Crosby,PIT,"10,000,000","8,700,000"
Alex Ovechkin,WSH,"10,000,000","9,538,462"
Evgeni Malkin,PIT,"9,500,000","9,500,000"
Steven Stamkos,TBL,"9,500,000","8,500,000"
Jakub Voracek,PHI,"9,250,000","8,250,000"
Brent Seabrook,CHI,"9,000,000","6,875,000"
Ryan Suter,MIN,"9,000,000","7,538,461"
Evander Kane,SJS,"9,000,000","7,000,000"
Corey Perry,ANA,"9,000,000","8,625,000"
Leon Draisaitl,EDM,"9,000,000","8,500,000"
Claude Giroux,PHI,"9,000,000","8,275,000"
Zach Parise,MIN,"9,000,000","7,538,461"
Ryan Getzlaf,ANA,"8,950,000","8,250,000"
Ryan O'Reilly,STL,"8,500,000","7,500,000"
Ilya Kovalchuk,LAK,"8,500,000","6,250,000"
Dustin Byfuglien,WPG,"8,000,000","7,600,000"
Kevin Shattenkirk,NYR,"8,000,000","6,650,000"
Brad Marchand,BOS,"8,000,000","6,125,000"
Victor Hedman,TBL,"8,000,000","7,875,000"
David Pastrnak,BOS,"8,000,000","6,666,666"
Ryan Johansen,NSH,"8,000,000","8,000,000"
James van Riemsdyk,PHI,"8,000,000","7,000,000"
Alexander Radulov,DAL,"8,000,000","6,250,000"
Drew Doughty,LAK,"7,650,000","7,000,000"
Bobby Ryan,OTT,"7,500,000","7,250,000"
T.J. Oshie,WSH,"7,500,000","5,750,000"
Nicklas Backstrom,WSH,"7,500,000","6,700,000"
David Krejci,BOS,"7,500,000","7,250,000"
Paul Stastny,VEG,"7,500,000","6,500,000"
Cam Fowler,ANA,"7,500,000","6,500,000"
Henrik Lundqvist,NYR,"7,500,000","8,500,000"
Erik Karlsson,SJS,"7,500,000","6,500,000"
Keith Yandle,FLA,"7,500,000","6,350,000"
Jason Spezza,DAL,"7,500,000","7,500,000"
Cam Atkinson,CBJ,"7,375,000","5,875,000"
Mark Stone,VEG,"7,350,000","7,350,000"
Kris Letang,PIT,"7,250,000","7,250,000"
Marc-Edouard Vlasic,SJS,"7,250,000","7,000,000"
"Steen, Alexander",STL,"7,000,000","5,750,000"
Alex Pietrangelo,STL,"7,000,000","6,500,000"
Pekka Rinne,NSH,"7,000,000","7,000,000"
Bo Horvat,VAN,"7,000,000","5,500,000"
Loui Eriksson,VAN,"7,000,000","6,000,000"
Jonathan Quick,LAK,"7,000,000","5,800,000"
Milan Lucic,EDM,"7,000,000","6,000,000"
"Marchessault, Jonathan",VEG,"7,000,000","5,000,000"
Josh Bailey,NYI,"7,000,000","5,000,000"
Oliver Ekman-Larsson,ARI,"7,000,000","5,500,000"
Connor Hellebuyck,WPG,"7,000,000","6,166,666"
Tuukka Rask,BOS,"7,000,000","7,000,000"
Vladimir Tarasenko,STL,"7,000,000","7,500,000"
Aaron Ekblad,FLA,"7,000,000","7,500,000"
Patrice Bergeron,BOS,"6,875,000","6,875,000"
Ondrej Palat,TBL,"6,855,000","5,300,000"
Nathan MacKinnon,COL,"6,750,000","6,300,000"
Johnny Gaudreau,CGY,"6,750,000","6,750,000"
Mark Scheifele,WPG,"6,750,000","6,125,000"
Dylan Larkin,DET,"6,750,000","6,100,000"
Martin Jones,SJS,"6,750,000","5,750,000"
Hampus Lindholm,ANA,"6,750,000","5,205,556"
Mark Giordano,CGY,"6,750,000","6,750,000"
Tyler Johnson,TBL,"6,750,000","5,000,000"
Brandon Saad,CHI,"6,750,000","6,000,000"
Sean Monahan,CGY,"6,750,000","6,375,000"
Ryan Kesler,ANA,"6,675,000","6,875,000"
Dmitry Orlov,WSH,"6,500,000","5,100,000"
Ben Bishop,DAL,"6,500,000","4,916,666"
Tyler Seguin,DAL,"6,500,000","5,750,000"
Travis Zajac,NJD,"6,500,000","5,750,000"
Johnny Boychuk,NYI,"6,500,000","6,000,000"
Bryan Little,WPG,"6,500,000","5,291,666"
Matt Duchene,CBJ,"6,500,000","6,000,000"
Colton Parayko,STL,"6,500,000","5,500,000"
Nikolaj Ehlers,WPG,"6,250,000","6,000,000"
Aleksander Barkov,FLA,"6,250,000","5,900,000"
Jaden Schwartz,STL,"6,250,000","5,350,000"
Sergei Bobrovsky,CBJ,"6,200,000","7,425,000"
Jonathan Huberdeau,FLA,"6,200,000","5,900,000"
Tom Wilson,WSH,"6,100,000","5,166,666"
Alex Goligoski,ARI,"6,100,000","5,475,000"
Nino Niederreiter,CAR,"6,075,000","5,250,000"
Marc Staal,NYR,"6,000,000","5,700,000"
Jordan Staal,CAR,"6,000,000","6,000,000"
David Backes,BOS,"6,000,000","6,000,000"
Kyle Turris,NSH,"6,000,000","6,000,000"
Shayne Gostisbehere,PHI,"6,000,000","4,500,000"
Jeff Skinner,BUF,"6,000,000","5,725,000"
Jordan Eberle,NYI,"6,000,000","6,000,000"
Logan Couture,SJS,"6,000,000","6,000,000"
Corey Crawford,CHI,"6,000,000","6,000,000"
Erik Johnson,COL,"6,000,000","6,000,000"
Frans Nielsen,DET,"6,000,000","5,250,000"
Filip Forsberg,NSH,"6,000,000","6,000,000"
Kyle Okposo,BUF,"6,000,000","6,000,000"
Cory Schneider,NJD,"6,000,000","6,000,000"
Justin Faulk,CAR,"6,000,000","4,833,333"
Zach Bogosian,BUF,"6,000,000","5,142,857"
Reilly Smith,VEG,"6,000,000","5,000,000"
Patrick Marleau,TOR,"6,000,000","6,250,000"
Ryan Nugent-Hopkins,EDM,"6,000,000","6,000,000"
Shea Weber,MTL,"6,000,000","7,857,143"
Tomas Hertl,SJS,"6,000,000","5,625,000"
Derek Stepan,ARI,"6,000,000","6,500,000"
Gabriel Landeskog,COL,"6,000,000","5,571,429"
Andrew Ladd,NYI,"6,000,000","5,500,000"
Joe Pavelski,SJS,"6,000,000","6,000,000"
Artemi Panarin,CBJ,"6,000,000","6,000,000"
Phil Kessel,PIT,"5,950,000","6,800,000"
Brandon Dubinsky,CBJ,"5,850,000","5,850,000"
Mikael Backlund,CGY,"5,850,000","5,350,000"
Blake Wheeler,WPG,"5,800,000","5,600,000"
Tyson Barrie,COL,"5,750,000","5,500,000"
Marc-Andre Fleury,VEG,"5,750,000","5,750,000"
Matt Niskanen,WSH,"5,750,000","5,750,000"
Dougie Hamilton,CAR,"5,750,000","5,750,000"
James Neal,CGY,"5,750,000","5,750,000"
Jonas Brodin,MIN,"5,750,000","4,166,667"
Brady Skjei,NYR,"5,700,000","5,250,000"
Mike Hoffman,FLA,"5,650,000","5,187,500"
Nikita Kucherov,TBL,"5,550,000","4,766,667"
Mika Zibanejad,NYR,"5,500,000","5,350,000"
Jared Spurgeon,MIN,"5,500,000","5,187,500"
Adam Henrique,ANA,"5,500,000","4,000,000"
Craig Anderson,OTT,"5,500,000","4,750,000"
Andrej Sekera,EDM,"5,500,000","5,500,000"
Andrew MacDonald,PHI,"5,500,000","5,000,000"
Jonathan Drouin,MTL,"5,500,000","5,500,000"
Danny DeKeyser,DET,"5,500,000","5,000,000"
Torey Krug,BOS,"5,500,000","5,250,000"
Tyler Bozak,STL,"5,500,000","5,000,000"
Nick Foligno,CBJ,"5,500,000","5,500,000"
Jaccob Slavin,CAR,"5,500,000","5,300,000"
Nick Leddy,NYI,"5,500,000","5,500,000"
Dustin Brown,LAK,"5,500,000","5,875,000"
Semyon Varlamov,COL,"5,500,000","5,900,000"
Mikael Granlund,NSH,"5,500,000","5,750,000"
Jacob Trouba,WPG,"5,500,000","5,500,000"
Seth Jones,CBJ,"5,400,000","5,400,000"
Rasmus Ristolainen,BUF,"5,400,000","5,400,000"
Jay Bouwmeester,STL,"5,400,000","5,400,000"
Ryan McDonagh,TBL,"5,300,000","4,700,000"
Patric Hornqvist,PIT,"5,300,000","5,300,000"
