blockedShots,giveaways,playerName,takeaways,hits
24,11,Ryan Reaves,37,305
44,23,Lawson Crouse,25,288
81,18,Brandon Tanev,22,278
13,10,William Carrier,31,277
42,19,Matt Martin,13,275
61,12,Cedric Paquette,21,269
22,34,Milan Lucic,27,259
158,39,Robert Hagg,4,258
128,68,Adam Larsson,25,256
133,59,Radko Gudas,23,255
38,21,Chris Wagner,21,247
121,44,Rasmus Ristolainen,23,235
147,32,Jack Johnson,14,233
67,32,Nikita Zadorov,21,228
44,36,Blake Coleman,50,225
49,23,Adam Lowry,42,223
41,70,Alex Ovechkin,47,223
36,13,Noel Acciari,35,221
40,19,Josh Anderson,46,214
93,26,Mark Borowiecki,14,212
40,28,Cal Clutterbuck,20,209
40,36,Blake Comeau,39,208
43,13,Marcus Foligno,31,206
38,26,Leo Komarov,28,203
78,38,Brenden Dillon,16,202
52,15,Tyler Motte,34,200
52,44,Tom Wilson,43,200
36,29,Garnet Hathaway,23,200
139,38,Brayden McNabb,37,200
46,30,Jordan Martinook,53,199
102,25,Luke Glendening,23,198
79,19,Erik Cernak,11,198
15,48,Zack Kassian,35,191
152,49,Roman Polak,18,191
123,129,Jeff Petry,39,190
106,55,Calvin de Haan,59,187
34,40,Justin Abdelkader,9,185
84,31,Erik Gudbranson,10,184
90,77,Josh Manson,36,184
19,48,Micheal Ferland,36,182
119,69,Brady Skjei,32,178
35,26,Carter Rowney,22,178
38,44,Troy Brouwer,23,177
51,26,Nick Foligno,37,175
26,39,Brady Tkachuk,22,174
25,38,Evander Kane,48,173
134,102,Jake Muzzin,20,172
139,65,Ben Chiarot,20,171
120,105,Drew Doughty,23,168
137,73,Matt Niskanen,40,167
152,24,Deryk Engelland,26,165
52,65,Oliver Ekman-Larsson,32,162
146,73,Darnell Nurse,30,162
39,8,Josh Archibald,18,161
91,66,Dougie Hamilton,35,160
49,52,Chris Kreider,31,159
26,8,Adam Erne,16,159
70,21,Boone Jenner,42,158
121,66,Justin Faulk,47,156
37,22,Jake Virtanen,46,154
108,25,Dan Girardi,8,151
74,79,Ryan Getzlaf,60,150
34,18,Patric Hornqvist,25,150
29,44,Dustin Brown,31,150
61,22,Ilya Lyubushkin,6,150
116,41,Adam Pelech,37,149
28,7,Brandon Dubinsky,16,147
46,42,Scott Laughton,42,146
50,17,Brian Boyle,22,145
