assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
51,0.5081,7,79,41,2,28,Calgary,CAN,1996-03-13,AB,79,3,2014,Brayden,70,8478010,0,1,Point,Brayden Point,CAN,C,R,TBL,166,27,92,1.1645,20,35,20182019,0,0,21.2025,0.2146,191,1135.1392
53,0.5309,6,82,45,0,37,Markham,CAN,1990-02-07,ON,1,1,2008,Steven,73,8474564,0,1,Stamkos,Steven Stamkos,CAN,C,R,TBL,194,4,98,1.1951,19,40,20182019,2,2,21.817,0.1923,234,1098.0121
38,0.2,5,81,51,0,40,Moscow,RUS,1985-09-17,,1,1,2004,Alex,75,8471214,0,1,Ovechkin,Alex Ovechkin,RUS,L,R,WSH,235,7,89,1.0987,18,28,20182019,0,0,20.7654,0.1508,338,1255.2716
43,0.3333,4,66,38,0,32,Havirov,CZE,1996-05-25,,25,1,2014,David,72,8477956,0,1,Pastrnak,David Pastrnak,CZE,R,R,BOS,194,6,81,1.2272,17,33,20182019,0,0,21.1363,0.1617,235,1125.2272
34,0.3421,6,82,36,3,30,Kitchener,CAN,1989-11-24,ON,129,5,2009,Mike,72,8474884,0,1,Hoffman,Mike Hoffman,CAN,L,L,FLA,180,-24,70,0.8536,17,35,20182019,0,0,21.2195,0.1422,253,1070.2682
56,0.3695,4,74,31,1,54,Nousiainen,FIN,1996-10-29,,10,1,2015,Mikko,76,8478420,0,1,Rantanen,Mikko Rantanen,FIN,R,L,COL,215,13,87,1.1756,16,33,20182019,0,0,23.027,0.1606,193,1250.5135
55,0.5052,5,82,50,3,52,Cologne,DEU,1995-10-27,,3,1,2014,Leon,74,8477934,0,1,Draisaitl,Leon Draisaitl,DEU,C,L,EDM,208,2,105,1.2804,16,29,20182019,3,3,25.9268,0.2164,231,1355.4512
87,0.0,8,82,41,0,62,Maykop,RUS,1993-06-17,,58,2,2011,Nikita,71,8476453,0,1,Kucherov,Nikita Kucherov,RUS,R,L,TBL,178,24,128,1.5609,15,48,20182019,0,0,21.5243,0.1666,246,1197.9268
20,0.3666,3,82,30,0,42,Tampere,FIN,1998-04-19,,2,1,2016,Patrik,77,8479339,0,1,Laine,Patrik Laine,FIN,R,R,WPG,206,-24,50,0.6097,15,23,20182019,0,0,19.756,0.1224,245,1033.9878
35,0.4571,3,82,41,1,15,Farmington Hills,USA,1997-12-18,MI,39,2,2016,Alex,67,8479337,0,1,DeBrincat,Alex DeBrincat,USA,L,R,CHI,165,0,76,0.9268,13,24,20182019,0,0,20.317,0.1863,220,1062.0
61,0.5368,5,82,35,2,8,Tampere,FIN,1995-09-02,,2,1,2013,Aleksander,75,8477493,0,1,Barkov,Aleksander Barkov,FIN,C,L,FLA,213,-3,96,1.1707,13,31,20182019,0,1,27.0487,0.1699,206,1341.2317
65,0.5542,3,79,35,1,36,Cole Harbour,CAN,1987-08-07,NS,1,1,2005,Sidney,71,8471675,0,1,Crosby,Sidney Crosby,CAN,C,L,PIT,200,18,100,1.2658,12,29,20182019,0,2,25.7721,0.159,220,1259.5063
26,0.5318,6,75,38,1,22,Plover,USA,1984-07-11,WI,205,7,2003,Joe,71,8470794,0,1,Pavelski,Joe Pavelski,USA,C,R,SJS,190,-4,64,0.8533,12,21,20182019,1,1,24.12,0.2021,188,1142.64
46,0.4625,6,82,38,3,38,Kitchener,CAN,1993-03-15,ON,7,1,2011,Mark,75,8476460,0,1,Scheifele,Mark Scheifele,CAN,C,R,WPG,207,8,84,1.0243,12,23,20182019,0,3,24.0121,0.1909,199,1311.7317
58,0.437,6,82,41,1,34,Halifax,CAN,1995-09-01,NS,1,1,2013,Nathan,72,8477492,0,1,MacKinnon,Nathan MacKinnon,CAN,C,R,COL,205,20,99,1.2073,12,37,20182019,0,0,24.6829,0.1123,365,1325.4878
48,0.5112,5,78,34,0,12,Brampton,CAN,1994-10-12,ON,6,1,2013,Sean,74,8477497,0,1,Monahan,Sean Monahan,CAN,C,L,CGY,200,7,82,1.0512,12,23,20182019,0,0,23.141,0.1611,211,1143.282
35,0.6666,5,76,33,1,22,Yaroslavl,RUS,1991-12-13,,16,1,2010,Vladimir,72,8475765,0,1,Tarasenko,Vladimir Tarasenko,RUS,R,L,STL,225,8,68,0.8947,12,22,20182019,0,0,23.2631,0.12,275,1103.9736
55,0.4444,10,82,27,2,28,Madison,USA,1987-10-02,WI,5,1,2006,Phil,72,8473548,0,1,Kessel,Phil Kessel,USA,R,R,PIT,202,-19,82,1.0,12,36,20182019,0,0,21.7804,0.1255,215,1078.6951
36,0.5214,5,68,37,2,12,San Ramon,USA,1997-09-17,CA,1,1,2016,Auston,75,8479318,0,1,Matthews,Auston Matthews,USA,C,L,TOR,223,-9,73,1.0735,12,20,20182019,0,0,23.397,0.1474,251,1113.2941
32,0.6153,5,82,34,0,18,Shelby Twp.,USA,1996-12-09,MI,17,1,2015,Kyle,73,8478398,0,1,Connor,Kyle Connor,USA,L,L,WPG,182,-7,66,0.8048,11,19,20182019,1,1,21.3292,0.1497,227,1155.1585
62,0.6315,5,82,30,0,40,Saint-Jerome,CAN,1993-06-04,QC,3,1,2011,Jonathan,73,8476456,0,1,Huberdeau,Jonathan Huberdeau,CAN,L,L,FLA,200,-14,92,1.1219,11,34,20182019,0,0,22.5121,0.1327,226,1131.2073
43,0.4615,2,80,34,0,62,Scottsdale,USA,1997-12-11,AZ,6,1,2016,Matthew,74,8479314,0,1,Tkachuk,Matthew Tkachuk,USA,L,L,CGY,202,14,77,0.9625,11,24,20182019,0,0,21.2,0.1642,207,1055.9375
44,0.4967,5,82,30,0,47,Huddinge,SWE,1993-04-18,,6,1,2011,Mika,74,8476459,0,1,Zibanejad,Mika Zibanejad,SWE,C,R,NYR,213,-12,74,0.9024,11,23,20182019,2,2,25.4146,0.1271,236,1233.5121
23,0.279,2,74,27,0,42,Smithtown,USA,1991-02-01,NY,26,1,2009,Kyle,71,8475151,0,1,Palmieri,Kyle Palmieri,USA,R,R,NJD,185,-9,50,0.6756,11,18,20182019,0,0,21.3513,0.1205,224,1089.3108
39,0.5147,5,77,35,1,18,Praha,CZE,1993-11-12,,17,1,2012,Tomas,74,8476881,0,1,Hertl,Tomas Hertl,CZE,C,L,SJS,215,5,74,0.961,11,15,20182019,1,2,23.8181,0.1988,176,1141.1818
33,0.2647,5,74,28,0,26,Minneapolis,USA,1984-07-28,MN,17,1,2003,Zach,71,8470610,0,1,Parise,Zach Parise,USA,L,L,MIN,193,-2,61,0.8243,10,16,20182019,0,2,22.5,0.1222,229,1120.0945
41,0.5445,8,82,47,1,34,Mississauga,CAN,1990-09-20,ON,1,1,2009,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,TOR,209,19,88,1.0731,10,19,20182019,0,0,24.0121,0.1643,286,1145.3536
38,0.4098,7,71,28,1,12,Sundsvall,SWE,1998-11-12,,5,1,2017,Elias,74,8480012,0,1,Pettersson,Elias Pettersson,SWE,C,L,VAN,176,3,66,0.9295,10,22,20182019,0,0,22.507,0.1944,144,1093.5774
64,0.4285,9,79,36,3,96,Halifax,CAN,1988-05-11,NS,71,3,2006,Brad,69,8473419,0,1,Marchand,Brad Marchand,CAN,L,L,BOS,181,15,100,1.2658,10,34,20182019,3,7,23.0506,0.1558,231,1177.4177
41,0.5201,9,73,34,0,51,Stockholm,SWE,1992-11-23,,2,1,2011,Gabriel,73,8476455,0,1,Landeskog,Gabriel Landeskog,SWE,L,L,COL,215,17,75,1.0273,10,27,20182019,0,0,23.4383,0.1399,243,1268.9178
23,0.4838,5,82,28,0,58,Edina,USA,1990-07-03,MN,151,6,2009,Anders,75,8475314,0,1,Lee,Anders Lee,USA,L,L,NYI,231,20,51,0.6219,10,16,20182019,0,0,20.2926,0.1372,204,1025.2682
