"assists","faceoffWinPctg","gameWinningGoals","gamesPlayed","goals","otGoals","penaltyMinutes","playerBirthCountry","playerBirthYear","playerDraftRoundNo","playerHeight","Player","playerPositionCode","playerShootsCatches","playerWeight","plusMinus","points","pointsPerGame","ppGoals","ppPoints","shGoals","shPoints","shiftsPerGame","shootingPctg","shots","timeOnIcePerGame","playerDrafted","Forward","LeftHand","blockedShots","giveaways","takeaways","hits","Tm","Salary","Cap.Hit"
51,0.5081,7,79,41,2,28,"CAN",1996,3,70,"Brayden Point","C","R",166,27,92,1.1645,20,35,0,0,21.2025,0.2146,191,1135.1392,1,1,0,43,25,35,31,"TBL",0.65,686667
53,0.5309,6,82,45,0,37,"CAN",1990,1,73,"Steven Stamkos","C","R",194,4,98,1.1951,19,40,2,2,21.817,0.1923,234,1098.0121,1,1,0,40,60,28,72,"TBL",9.5,8500000
38,0.2,5,81,51,0,40,"RUS",1985,1,75,"Alex Ovechkin","L","R",235,7,89,1.0987,18,28,0,0,20.7654,0.1508,338,1255.2716,1,1,0,41,70,47,223,"WSH",10,9538462
43,0.3333,4,66,38,0,32,"CZE",1996,1,72,"David Pastrnak","R","R",194,6,81,1.2272,17,33,0,0,21.1363,0.1617,235,1125.2272,1,1,0,25,90,36,57,"BOS",8,6666666
34,0.3421,6,82,36,3,30,"CAN",1989,5,72,"Mike Hoffman","L","L",180,-24,70,0.8536,17,35,0,0,21.2195,0.1422,253,1070.2682,1,1,1,26,98,48,42,"FLA",5.65,5187500
56,0.3695,4,74,31,1,54,"FIN",1996,1,76,"Mikko Rantanen","R","L",215,13,87,1.1756,16,33,0,0,23.027,0.1606,193,1250.5135,1,1,1,41,35,39,59,"COL",0.8325,894167
55,0.5052,5,82,50,3,52,"DEU",1995,1,74,"Leon Draisaitl","C","L",208,2,105,1.2804,16,29,3,3,25.9268,0.2164,231,1355.4512,1,1,1,26,116,71,57,"EDM",9,8500000
87,0,8,82,41,0,62,"RUS",1993,2,71,"Nikita Kucherov","R","L",178,24,128,1.5609,15,48,0,0,21.5243,0.1666,246,1197.9268,1,1,1,31,89,58,44,"TBL",5.55,4766667
20,0.3666,3,82,30,0,42,"FIN",1998,1,77,"Patrik Laine","R","R",206,-24,50,0.6097,15,23,0,0,19.756,0.1224,245,1033.9878,1,1,0,44,48,28,70,"WPG",0.925,925000
35,0.4571,3,82,41,1,15,"USA",1997,2,67,"Alex DeBrincat","L","R",165,0,76,0.9268,13,24,0,0,20.317,0.1863,220,1062,1,1,0,26,50,51,35,"CHI",0.7925,778333
61,0.5368,5,82,35,2,8,"FIN",1995,1,75,"Aleksander Barkov","C","L",213,-3,96,1.1707,13,31,0,1,27.0487,0.1699,206,1341.2317,1,1,1,61,69,100,28,"FLA",6.25,5900000
65,0.5542,3,79,35,1,36,"CAN",1987,1,71,"Sidney Crosby","C","L",200,18,100,1.2658,12,29,0,2,25.7721,0.159,220,1259.5063,1,1,1,43,67,54,85,"PIT",10,8700000
26,0.5318,6,75,38,1,22,"USA",1984,7,71,"Joe Pavelski","C","R",190,-4,64,0.8533,12,21,1,1,24.12,0.2021,188,1142.64,1,1,0,61,45,41,69,"SJS",6,6e+06
46,0.4625,6,82,38,3,38,"CAN",1993,1,75,"Mark Scheifele","C","R",207,8,84,1.0243,12,23,0,3,24.0121,0.1909,199,1311.7317,1,1,0,54,48,74,54,"WPG",6.75,6125000
58,0.437,6,82,41,1,34,"CAN",1995,1,72,"Nathan MacKinnon","C","R",205,20,99,1.2073,12,37,0,0,24.6829,0.1123,365,1325.4878,1,1,0,31,64,48,54,"COL",6.75,6300000
48,0.5112,5,78,34,0,12,"CAN",1994,1,74,"Sean Monahan","C","L",200,7,82,1.0512,12,23,0,0,23.141,0.1611,211,1143.282,1,1,1,24,58,78,36,"CGY",6.75,6375000
35,0.6666,5,76,33,1,22,"RUS",1991,1,72,"Vladimir Tarasenko","R","L",225,8,68,0.8947,12,22,0,0,23.2631,0.12,275,1103.9736,1,1,1,40,31,34,88,"STL",7,7500000
55,0.4444,10,82,27,2,28,"USA",1987,1,72,"Phil Kessel","R","R",202,-19,82,1,12,36,0,0,21.7804,0.1255,215,1078.6951,1,1,0,18,78,33,12,"PIT",5.95,6800000
36,0.5214,5,68,37,2,12,"USA",1997,1,75,"Auston Matthews","C","L",223,-9,73,1.0735,12,20,0,0,23.397,0.1474,251,1113.2941,1,1,1,60,67,57,28,"TOR",0.925,925000
32,0.6153,5,82,34,0,18,"USA",1996,1,73,"Kyle Connor","L","L",182,-7,66,0.8048,11,19,1,1,21.3292,0.1497,227,1155.1585,1,1,1,21,33,56,9,"WPG",0.925,925000
62,0.6315,5,82,30,0,40,"CAN",1993,1,73,"Jonathan Huberdeau","L","L",200,-14,92,1.1219,11,34,0,0,22.5121,0.1327,226,1131.2073,1,1,1,45,84,43,57,"FLA",6.2,5900000
43,0.4615,2,80,34,0,62,"USA",1997,1,74,"Matthew Tkachuk","L","L",202,14,77,0.9625,11,24,0,0,21.2,0.1642,207,1055.9375,1,1,1,13,56,42,104,"CGY",0.925,925000
44,0.4967,5,82,30,0,47,"SWE",1993,1,74,"Mika Zibanejad","C","R",213,-12,74,0.9024,11,23,2,2,25.4146,0.1271,236,1233.5121,1,1,0,66,69,69,134,"NYR",5.5,5350000
23,0.279,2,74,27,0,42,"USA",1991,1,71,"Kyle Palmieri","R","R",185,-9,50,0.6756,11,18,0,0,21.3513,0.1205,224,1089.3108,1,1,0,35,37,36,98,"NJD",5,4650000
39,0.5147,5,77,35,1,18,"CZE",1993,1,74,"Tomas Hertl","C","L",215,5,74,0.961,11,15,1,2,23.8181,0.1988,176,1141.1818,1,1,1,64,44,57,53,"SJS",6,5625000
